Category Path,Count
Language and literature -> History -> Countries -> Geography,4
Everyday life -> Countries -> Music,4
History -> Religion -> <,4
Geography -> Design and Technology -> Geography,4
People -> Design and Technology,4
Business Studies -> Design and Technology,4
Design and Technology -> Geography -> History,4
Geography -> Science -> Countries -> Geography,4
Science -> Religion -> People,4
Music -> Citizenship,4
Geography -> Countries -> Citizenship -> People,4
Music -> Language and literature,4
Citizenship -> <,4
Language and literature -> Countries -> People,4
Geography -> Countries -> < -> Geography,4
Science -> Countries -> Geography -> Science,4
Music -> Science,4
Language and literature -> Countries -> History -> Countries -> Geography,4
People -> History -> Religion,4
Mathematics -> Countries,4
Design and Technology -> Science -> Everyday life -> Science -> Everyday life,4
Science -> Countries -> Citizenship -> <,4
Geography -> IT,4
Science -> Religion -> Geography,4
People -> IT,4
Design and Technology -> Countries -> Music -> Geography,4
IT -> Science,4
Citizenship -> People,4
Mathematics -> People -> Geography,4
Geography -> Religion -> <,4
Science -> Language and literature -> <,4
Science -> Geography -> Science -> < -> Science,4
Science -> Geography -> < -> Countries,4
Science -> Geography -> Countries -> Geography -> Everyday life,4
Design and Technology -> Countries -> Everyday life -> <,4
People -> Religion -> Geography,4
Science -> Geography -> People,4
Science -> History -> Language and literature,4
Science -> Countries -> Geography -> Citizenship,4
Science -> Geography -> Language and literature,4
IT -> Design and Technology -> IT,4
Geography -> History -> Countries -> History,4
Design and Technology -> Science -> Geography -> Countries,4
History -> Business Studies,4
Science -> IT -> Everyday life -> Language and literature -> Design and Technology,4
Science -> Everyday life -> < -> Science,4
Music -> Geography -> Everyday life,4
Design and Technology -> Geography -> Everyday life,4
Citizenship -> Countries -> History -> <,4
Science -> Language and literature -> Design and Technology,4
People -> Science -> Geography -> Science,4
Citizenship -> Geography -> Design and Technology,4
Science -> Everyday life -> Countries -> Geography,4
Science -> IT -> Geography,4
Geography -> Citizenship -> Countries,4
Countries -> Geography -> Religion,4
Music -> Everyday life,4
People -> Language and literature -> History,4
Geography -> Science -> < -> Geography,4
History -> Countries -> Geography -> Countries,4
Science -> People -> <,4
Mathematics -> Language and literature -> Countries,4
Design and Technology -> Countries -> < -> Countries,4
Everyday life -> Geography -> Countries -> Everyday life,4
Language and literature -> Countries -> Geography -> Citizenship,4
History -> Citizenship -> Countries,4
Countries -> Citizenship -> Geography,4
History -> Religion -> History,4
Geography -> Language and literature -> Geography,4
Religion -> Geography -> Language and literature -> Countries,4
Geography -> Citizenship -> Countries -> Geography,4
Everyday life -> Language and literature -> Geography,4
Geography -> History -> Citizenship,4
Geography -> Science -> < -> Science -> < -> Science,4
Countries -> Citizenship -> Countries -> Geography,4
History -> Geography -> Science -> Geography,4
Geography -> Citizenship -> Countries -> Citizenship,4
Countries -> Geography -> Everyday life,4
Geography -> Countries -> Geography -> History,4
Everyday life -> Art,4
Mathematics -> People -> Science,4
Everyday life -> Geography -> Religion,4
Design and Technology -> History -> Geography -> Countries,4
Everyday life -> Geography -> Everyday life -> Science,4
Everyday life -> Citizenship -> Everyday life,4
People -> Science -> < -> Science,4
Science -> Everyday life -> Science -> Everyday life,4
People -> History -> Countries -> History,4
Everyday life -> Countries -> Geography -> Citizenship,4
Design and Technology -> Citizenship -> Geography,4
Science -> History -> < -> History,4
History -> Design and Technology,4
Everyday life -> Geography -> Language and literature,4
Design and Technology -> History -> Countries -> Geography,4
Language and literature -> Countries -> Geography -> <,4
Everyday life -> Geography -> Science -> <,4
People -> <,4
Everyday life -> Countries -> Geography -> Countries -> Geography,4
Science -> Language and literature -> History -> Countries,4
Design and Technology -> Geography -> Citizenship,4
Countries -> Citizenship -> People,3
Everyday life -> History -> Countries -> Geography,3
Science -> Everyday life -> Design and Technology,3
IT -> Countries -> Everyday life,3
Religion -> People -> History,3
Geography -> Countries -> Citizenship -> Countries,3
History -> Geography -> Countries -> <,3
Science -> Geography -> < -> Geography -> Science,3
IT -> People -> IT,3
Countries -> Citizenship -> Countries -> Music,3
Geography -> Business Studies -> Countries -> Geography,3
Science -> Countries -> Geography -> Design and Technology,3
People -> Language and literature -> Countries -> Geography,3
Music -> Art,3
Geography -> Everyday life -> Citizenship,3
Countries -> History -> Design and Technology,3
Music -> History,3
Science -> People -> Countries -> Citizenship,3
Geography -> Citizenship -> Religion,3
Citizenship -> Countries -> Geography -> Science,3
Everyday life -> Language and literature -> Countries -> Geography,3
People -> Art,3
Everyday life -> Language and literature -> History,3
Geography -> Religion -> Geography,3
Geography -> Language and literature -> History,3
Geography -> Music,3
Countries -> Geography -> Science -> Geography,3
Geography -> Countries -> Religion -> People,3
Countries -> Citizenship -> History,3
IT -> Science -> <,3
Religion -> Countries -> Geography -> Science,3
Science -> Geography -> Countries -> Geography -> <,3
History -> Countries -> Everyday life -> <,3
IT -> Language and literature,3
History -> Geography -> Everyday life,3
People -> Countries -> History -> Citizenship,3
Science -> History -> Everyday life,3
Countries -> Science -> Geography,3
Science -> Design and Technology -> History,3
Geography -> Science -> Geography -> Science,3
Everyday life -> People -> Countries,3
Citizenship -> People -> Science,3
History -> Citizenship -> History,3
Science -> Countries -> History -> Language and literature,3
Geography -> Countries -> Everyday life -> <,3
History -> Citizenship -> <,3
People -> Geography -> History -> Countries,3
Citizenship -> People -> Countries,3
Science -> Countries -> Language and literature -> Geography,3
Science -> Citizenship -> Everyday life,3
Music -> People -> Language and literature,3
People -> History -> Citizenship,3
People -> Countries -> Geography -> History,3
History -> Countries -> Citizenship -> Geography -> Countries,3
Design and Technology -> Geography -> Countries -> Everyday life -> Science,3
Science -> People -> Science -> History,3
Design and Technology -> Everyday life -> Science,3
Geography -> Science -> Geography -> Countries,3
Design and Technology -> Science -> Countries -> Everyday life,3
Design and Technology -> Countries -> History -> Science,3
Science -> People -> Countries -> History,3
Design and Technology -> Citizenship -> Science,3
Science -> IT -> Language and literature,3
Language and literature -> Countries -> Geography -> Science -> < -> Countries,3
Design and Technology -> Science -> Geography -> Science,3
Citizenship -> Countries -> Science,3
Countries -> Religion -> People,3
Science -> People -> Countries -> <,3
History -> Geography -> Citizenship,3
Citizenship -> Geography -> Everyday life,3
Science -> Everyday life -> History,3
Design and Technology -> Science -> Countries,3
Science -> Geography -> Religion,3
Science -> < -> Science -> < -> Science -> <,3
Science -> Mathematics -> People,3
Science -> History -> Geography -> History,3
Business Studies -> Countries -> History,3
Science -> Countries -> Religion,3
Science -> Geography -> History -> Geography,3
Everyday life -> Design and Technology,3
Language and literature -> Everyday life -> History -> Geography -> Science,3
Science -> Everyday life -> Religion -> Science,3
People -> Language and literature -> Countries -> History,3
Science -> Everyday life -> Science -> < -> Science,3
Science -> < -> Countries,3
Science -> Geography -> Countries -> Geography -> Citizenship,3
Religion -> Countries -> Geography -> Everyday life,3
Geography -> Citizenship -> Countries -> History,3
Design and Technology -> History -> Everyday life -> Countries,3
Language and literature -> Countries -> Geography -> Everyday life,3
Science -> Everyday life -> Science -> Everyday life -> <,3
Science -> Countries -> Geography -> Countries -> History,3
Everyday life -> Mathematics -> Science,3
Language and literature -> Art,3
Religion -> Language and literature -> History,3
Science -> Everyday life -> < -> Everyday life,3
People -> Geography -> Religion,3
History -> Religion -> People,3
Religion -> Countries -> Geography -> Countries,3
Geography -> Citizenship -> < -> Geography,3
Art -> Geography -> Countries,3
Geography -> Countries -> Citizenship -> <,3
History -> Geography -> History -> Countries,3
Science -> History -> Countries -> History -> Countries,3
Science -> Everyday life -> Science -> <,3
Science -> < -> Religion,3
Design and Technology -> History -> Everyday life -> Science -> Everyday life -> Science,3
Science -> IT -> Science -> <,3
Geography -> Everyday life -> Geography,3
Language and literature -> Countries -> Geography -> Science -> <,3
Religion -> IT,3
People -> History -> Science,3
Science -> Design and Technology -> IT,3
People -> Countries -> Everyday life -> <,3
Science -> Language and literature -> History -> Geography,3
Language and literature -> Citizenship -> <,3
Science -> Citizenship -> < -> Science,3
Everyday life -> Countries -> Geography -> Science -> Geography,3
People -> Citizenship -> History,3
People -> Countries -> People,3
Science -> Everyday life -> Geography -> Science,3
Geography -> History -> Science,3
Geography -> Countries -> Language and literature -> <,3
Science -> Everyday life -> Countries -> Geography -> <,3
Everyday life -> Countries -> Language and literature,3
Geography -> Countries -> History -> Citizenship,3
People -> Countries -> Geography -> Countries -> Geography,3
People -> Language and literature -> <,3
Science -> Geography -> Countries -> Geography -> Countries -> Geography,3
Language and literature -> Countries -> Religion,3
Science -> Geography -> Countries -> Design and Technology,3
Geography -> Citizenship -> History,3
Science -> IT -> Design and Technology,3
People -> Religion -> Science,3
Everyday life -> Science -> People,3
Music -> Countries -> Geography -> Science,3
Science -> Countries -> Citizenship -> Business Studies,3
Science -> Geography -> Language and literature -> History,3
IT -> Citizenship,3
Geography -> Design and Technology -> History,3
Science -> Countries -> Citizenship -> Countries -> Geography,3
Geography -> Countries -> Geography -> Everyday life,3
Science -> Language and literature -> Countries -> Citizenship,3
Science -> Countries -> Geography -> Everyday life -> <,3
Geography -> < -> Geography -> Countries,3
Music -> Countries -> <,3
People -> Geography -> Countries -> <,3
History -> Language and literature -> Geography,3
History -> < -> History,3
Science -> Mathematics -> Design and Technology,3
Business Studies -> Geography -> Countries,3
IT -> Countries -> Geography -> Science,3
Geography -> Countries -> Everyday life -> < -> Everyday life,3
Design and Technology -> Science -> Geography -> <,3
Science -> IT -> Citizenship -> Language and literature,3
Everyday life -> Countries -> IT,3
Countries -> Geography -> Citizenship -> Science,3
Everyday life -> Religion -> Science,3
Science -> People -> Geography -> Countries -> Geography,3
Everyday life -> Citizenship -> Geography,3
IT -> Geography -> Countries,3
Art -> Geography,3
Mathematics -> Business Studies,3
Business Studies -> Citizenship -> <,3
History -> Design and Technology -> Science,3
Science -> Geography -> < -> Geography -> Countries,3
Language and literature -> Everyday life -> Science -> Geography -> Science,3
Geography -> Countries -> Citizenship -> History,3
Science -> Countries -> History -> Geography,3
Language and literature -> Science -> Music,3
Everyday life -> History -> Language and literature,3
Countries -> Language and literature -> Countries -> Geography,3
Business Studies -> Countries -> History -> Countries,3
Art -> People,3
Science -> People -> Geography -> Countries,3
Geography -> History -> Science -> People,3
Music -> Geography -> Countries -> Geography,3
Music -> <,3
IT -> History,3
Mathematics -> Science -> Everyday life,3
Everyday life -> Countries -> Geography -> < -> Geography,3
IT -> Design and Technology,3
IT -> Everyday life -> Science,3
Religion -> Language and literature -> <,3
Geography -> People -> <,3
Design and Technology -> History -> Everyday life -> Science -> Everyday life -> <,3
Geography -> Countries -> People,3
Everyday life -> Geography -> Countries -> Citizenship,3
Citizenship -> Geography -> Science,3
History -> Citizenship -> Everyday life,3
Language and literature -> Geography -> <,3
Countries -> Geography -> Countries -> History,3
Mathematics -> Geography,3
Design and Technology -> Geography -> Everyday life -> Science,3
Everyday life -> Science -> Everyday life -> <,3
Countries -> Business Studies -> Science,3
Geography -> Countries -> History -> Countries -> Geography,3
Science -> IT -> < -> IT,3
History -> Religion -> Countries,3
History -> Geography -> Countries -> Citizenship,3
Geography -> Countries -> Citizenship -> Science,3
People -> History -> Countries -> Geography,3
Science -> History -> Religion -> History,3
Science -> < -> Geography -> <,3
Countries -> Geography -> Countries -> Geography -> <,3
Citizenship -> Geography -> History -> Countries,3
Citizenship -> History -> People,3
History -> IT,3
Science -> Everyday life -> Mathematics,3
Business Studies -> Everyday life,3
Business Studies -> Countries -> Everyday life,3
Religion -> <,3
Everyday life -> Geography -> Language and literature -> <,3
Science -> Geography -> Everyday life -> Citizenship,3
Science -> Language and literature -> Countries -> Geography -> Countries,3
Everyday life -> Countries -> History -> <,3
Design and Technology -> Countries -> Everyday life -> Countries,2
Science -> IT -> Citizenship -> Geography,2
People -> Geography -> Everyday life -> Countries,2
Business Studies -> Countries -> Religion,2
Science -> History -> Countries -> Citizenship,2
People -> History -> Countries -> Everyday life,2
History -> Countries -> Business Studies,2
Citizenship -> Design and Technology -> Science,2
Countries -> Language and literature -> Geography -> Countries,2
Science -> Geography -> Religion -> <,2
Everyday life -> Geography -> Citizenship -> Science,2
Citizenship -> Science -> Religion,2
Mathematics -> <,2
Science -> < -> Everyday life -> Science,2
Science -> Geography -> Countries -> History -> People,2
Everyday life -> Countries -> Citizenship -> Geography,2
Science -> History -> Geography -> Countries,2
Science -> People -> Science -> Everyday life,2
Religion -> Geography -> Citizenship -> Countries,2
Countries -> Science -> History,2
Science -> Mathematics -> IT,2
People -> Countries -> Religion,2
Language and literature -> Citizenship -> History,2
People -> History -> Everyday life -> Science,2
History -> People -> Countries,2
People -> Design and Technology -> Science,2
Countries -> Religion -> Geography,2
Religion -> Geography -> Countries -> History,2
People -> Geography -> Everyday life -> <,2
Citizenship -> Business Studies -> Countries,2
Everyday life -> Business Studies -> Countries -> Geography -> Science,2
Language and literature -> Geography -> History -> <,2
Geography -> Countries -> Music,2
Geography -> Countries -> Everyday life -> People,2
People -> Countries -> Everyday life -> Science,2
Music -> IT -> Business Studies -> Design and Technology,2
Design and Technology -> Language and literature -> History,2
People -> Science -> Countries,2
Design and Technology -> History -> Countries -> Everyday life,2
People -> Countries -> Citizenship -> Countries -> Business Studies,2
Science -> Countries -> Geography -> Everyday life,2
Art -> Science -> Geography,2
Citizenship -> Business Studies -> Citizenship -> Everyday life,2
Countries -> Science -> < -> Science,2
Citizenship -> Religion -> <,2
Citizenship -> People -> Geography,2
Geography -> Countries -> Geography -> Countries -> <,2
History -> Geography -> Countries -> Geography -> <,2
People -> Everyday life -> History -> Citizenship,2
Language and literature -> Countries -> Music,2
History -> Citizenship -> Religion,2
Citizenship -> Countries -> Geography -> <,2
Citizenship -> Countries -> Geography -> Countries -> Geography,2
Geography -> History -> Citizenship -> <,2
Citizenship -> Geography -> Countries -> Geography,2
Science -> People -> Language and literature -> Countries,2
Geography -> Science -> Citizenship,2
People -> Countries -> Business Studies -> Countries,2
People -> Religion -> Countries,2
